Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
300	476	son	282500	151	162	0.765734	0.713816	0.738864
301	247	f▁	281266	227	208	0.633178	0.679104	0.655337
302	438	mö	279302	85	81	0.634146	0.664557	0.648996
303	269	wer	277829	202	188	0.481959	0.55988	0.518006
304	440	ß▁	277693	70	72	0.463768	0.442857	0.453071
305	484	ul	272861	179	184	0.773256	0.768627	0.770935
306	431	al▁	270776	159	162	0.660088	0.655844	0.657959
307	369	schaf	269995	145	137	0.596429	0.628788	0.612181
308	462	tei	269897	174	165	0.611801	0.645161	0.628039
309	468	unser	269464	60	63	0.965517	0.925	0.944824
310	69	5	269416	197	192	0.971591	1	0.985591
311	429	auf	267562	161	157	0.407051	0.421634	0.414214
312	493	Ab	264999	159	141	0.622642	0.713768	0.665098
313	445	zur▁	264898	96	65	0.353261	0.515873	0.419355
314	498	ass	264210	116	122	0.663636	0.630747	0.646774
315	448	kt▁	262739	130	151	0.647541	0.548611	0.593985
316	70	3	262691	164	161	0.976449	0.992647	0.984482
317	446	tung▁	262411	126	110	0.570833	0.652381	0.608889
318	463	z▁	256650	195	206	0.764493	0.727312	0.745439
319	452	tet▁	256253	161	152	0.575949	0.61	0.592486
320	465	dar	255488	144	108	0.417266	0.551887	0.475227
321	454	einem▁	251804	230	246	0.715409	0.664483	0.689006
322	488	20	251014	176	173	0.981132	1	0.990476
323	458	Das▁	249202	136	129	0.614815	0.648438	0.631179
324	482	ander	248746	126	137	0.863636	0.789474	0.824891
325	460	wur	248514	288	350	0.755306	0.626834	0.685099
326	478	geh	248272	158	130	0.477707	0.582031	0.524734
327	461	y▁	246901	179	178	0.844937	0.84375	0.844343
328	480	ran	246066	131	117	0.761333	0.849558	0.80303
329	444	rau	245479	182	154	0.713018	0.846552	0.774068
330	276	ss▁	243647	136	115	0.527559	0.602679	0.562622
331	466	Par	243094	64	63	0.721311	0.75	0.735376
332	467	keit▁	242560	73	86	0.767606	0.647059	0.702196
333	471	so▁	238998	149	132	0.506897	0.594262	0.547114
334	483	Vor	235789	124	106	0.550847	0.645631	0.594485
335	486	setz	233344	112	85	0.37619	0.49375	0.427027
336	470	b▁	233140	158	169	0.67	0.619632	0.643832
337	473	liche▁	233002	91	91	0.505682	0.511494	0.508571
338	475	können▁	231523	67	62	0.595238	0.633333	0.613695
339	408	ann▁	230627	157	196	0.823465	0.687729	0.749501
340	474	dern▁	228317	101	91	0.688776	0.768939	0.726653
341	479	me▁	227445	65	65	0.648438	0.646154	0.647294
342	481	Ich▁	225923	94	98	0.961957	0.921875	0.941489
343	394	and▁	223270	133	137	0.603175	0.587302	0.595132
344	455	ben	221508	84	92	0.481707	0.432584	0.455826
345	499	ör	220968	184	160	0.590909	0.692053	0.637494
346	497	Ent	219614	62	71	0.754098	0.669118	0.709071
347	490	fin	219247	85	66	0.547619	0.707692	0.61745
348	441	ische▁	218945	61	76	0.741379	0.591549	0.658043
349	489	Sp	217789	154	178	0.824468	0.711382	0.763762
350	71	4	217640	122	120	0.981308	1	0.990566
351	487	ern▁	214539	155	146	0.594595	0.627737	0.610717
352	491	durch▁	214404	80	83	0.546667	0.5125	0.529032
353	494	komm	211544	142	130	0.42029	0.460317	0.439394
354	496	Kommis	210369	3	3	0.666667	0.666667	0.666667
355	495	führ	209725	104	82	0.504902	0.635802	0.562842
356	485	sen▁	201973	121	120	0.517094	0.521552	0.519313
357	309	wir	197675	82	84	0.666667	0.654321	0.660436
358	238	fü	194439	127	147	0.762295	0.659574	0.707224
359	59	j	191011	129	139	0.76776	0.708333	0.73685
360	307	et▁	190794	75	82	0.513889	0.45625	0.483357
361	264	ies	190579	66	74	0.784615	0.689189	0.733813
