Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev
runs-ende-all/088-ende-48k48k-r1	48,000	127,539,945	28.27	0.756	47,573	109	44	12	5	1	130,552,113	28.94	0.676	47,742	212	87	20	7	1	40.4
runs-ende-all/099-ende-64k64k-r1	64,000	126,132,509	27.96	0.785	63,267	67	28	8	3	1	127,690,287	28.30	0.702	63,603	136	57	14	5	1	40.3
																				
runs-enhi-030k/000-enhi-chars-r1	93	2,489,215	82.97	0.693	90	213	154	110	107	107	2,433,771	81.13	0.719	172	60	47	37	36	34	0.4
runs-enhi-030k/011-enhi-.5k.5k-r1	500	1,107,589	36.92	0.411	484	443	226	107	54	3	1,207,701	40.26	0.447	489	119	62	44	37	23	1.1
runs-enhi-030k/022-enhi-01k01k-r1	1,000	941,147	31.37	0.449	980	193	122	60	33	3	1,003,538	33.45	0.462	984	159	66	41	22	1	1.4
runs-enhi-030k/033-enhi-02k02k-r1	2,000	817,460	27.25	0.499	1,969	72	46	18	8	1	863,557	28.79	0.498	1,974	75	40	12	6	1	1.3
runs-enhi-030k/044-enhi-04k04k-r1	4,000	716,364	23.88	0.549	3,934	28	14	5	2	1	755,459	25.18	0.546	3,940	28	11	5	2	1	1.8
runs-enhi-030k/055-enhi-08k08k-r1	8,000	636,826	21.23	0.597	7,826	10	5	2	1	1	675,789	22.53	0.601	7,841	11	5	2	1	1	1.9
runs-enhi-030k/066-enhi-16k16k-r1	15,024	585,401	19.51	0.659	14,399	4	2	1	1	1	628,474	20.95	0.662	14,008	4	2	1	1	1	1.9
																				
runs-enhi-500k/000-enhi-chars-r1	92	41,205,595	82.41	0.690	89	4291	2928	2254	1811	1811	40,091,496	80.18	0.723	178	985	701	525	496	492	15.8
runs-enhi-500k/011-enhi-.5k.5k-r1	500	18,419,334	36.84	0.410	486	7856	3859	1920	892	148	20,030,134	40.06	0.452	490	1822	1042	603	531	10	15.8
runs-enhi-500k/022-enhi-01k01k-r1	1,000	15,664,500	31.33	0.453	980	3350	2206	1117	436	9	16,605,972	33.21	0.462	985	2455	1088	570	203	4	16.3
runs-enhi-500k/033-enhi-02k02k-r1	2,000	13,602,553	27.21	0.499	1,973	1148	727	282	110	1	14,281,877	28.56	0.495	1,979	1209	572	215	66	1	16.1
runs-enhi-500k/044-enhi-04k04k-r1	4,000	11,927,018	23.85	0.545	3,962	447	234	85	31	1	12,480,445	24.96	0.542	3,967	437	167	53	23	1	15.6
runs-enhi-500k/055-enhi-08k08k-r1	8,000	10,600,033	21.20	0.589	7,934	156	75	23	8	1	11,174,157	22.35	0.595	7,945	156	73	22	9	1	15.3
runs-enhi-500k/066-enhi-16k16k-r1	16,000	9,684,875	19.37	0.647	15,833	57	26	8	4	1	10,322,158	20.64	0.657	15,857	57	27	11	5	1	15.5
runs-enhi-500k/077-enhi-32k32k-r1	32,000	9,127,541	18.26	0.719	31,388	18	9	3	2	1	9,805,094	19.61	0.727	31,491	18	10	4	2	1	14.1
runs-enhi-500k/088-enhi-48k48k-r1	48,000	8,923,579	17.85	0.765	46,606	9	5	2	1	1	9,605,263	19.21	0.769	46,744	9	6	2	1	1	13.4
runs-enhi-500k/099-enhi-64k64k-r1	64,000	8,817,533	17.64	0.798	61,414	5	3	1	1	1	9,492,658	18.99	0.800	61,606	6	4	2	1	1	13.2
																				
runs-enhi-all/000-enhi-chars-r1	92	108,059,718	82.16	0.690	89	11474	7863	5910	4717	4717	105,063,278	79.88	0.724	179	2555	1722	1374	1326	1280	16.2
runs-enhi-all/011-enhi-.5k.5k-r1	500	48,334,069	36.75	0.410	486	20535	10201	5011	2272	416	52,557,490	39.96	0.450	490	4699	2715	1559	1388	28	17.8
runs-enhi-all/022-enhi-01k01k-r1	1,000	41,121,962	31.27	0.452	979	8632	5681	2133	908	25	43,572,909	33.13	0.462	985	6514	2721	1420	559	13	17.3
runs-enhi-all/033-enhi-02k02k-r1	2,000	35,704,624	27.15	0.498	1,973	3023	1892	686	264	1	37,433,596	28.46	0.496	1,977	3008	1426	502	165	2	18.4
runs-enhi-all/044-enhi-04k04k-r1	4,000	31,297,671	23.80	0.545	3,965	1131	573	180	45	1	32,717,424	24.88	0.541	3,967	1180	437	164	80	2	17.8
runs-enhi-all/055-enhi-08k08k-r1	8,000	27,797,911	21.14	0.588	7,949	400	190	48	14	1	29,286,367	22.27	0.594	7,953	405	193	65	27	1	17.3
runs-enhi-all/066-enhi-16k16k-r1	16,000	25,399,399	19.31	0.645	15,881	147	61	18	6	1	27,053,888	20.57	0.655	15,884	146	70	25	11	1	17.0
runs-enhi-all/077-enhi-32k32k-r1	32,000	23,938,075	18.20	0.715	31,616	44	20	6	3	1	25,706,513	19.55	0.725	31,627	47	25	10	5	1	16.8
runs-enhi-all/088-enhi-48k48k-r1	48,000	23,408,463	17.80	0.759	47,118	22	10	3	2	1	25,187,749	19.15	0.766	47,068	23	14	5	2	1	16.3
runs-enhi-all/099-enhi-64k64k-r1	64,000	23,134,867	17.59	0.789	62,436	13	6	2	1	1	24,904,408	18.94	0.795	62,185	15	9	3	2	1	16.3
