Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-deen-all/044-deen-04k04k-r1	4,000	190,921,730	42.32	0.504	3,964	7797	3440	1048	306	1	170,301,114	37.75	0.527	3,965	6122	2999	877	258	1	38.4	-0.04	-0.153	34.9	-0.029	-0.138
runs-deen-all/055-deen-08k08k-r1	8,000	165,821,777	36.75	0.539	7,953	2800	1197	304	114	1	150,201,244	33.29	0.577	7,950	1971	753	188	68	1	38.5	0.016	-0.166	35.1	0.031	-0.154
runs-deen-all/066-deen-16k16k-r1	16,000	147,732,282	32.74	0.583	15,926	1055	431	97	25	1	137,514,197	30.48	0.643	15,898	673	278	68	23	1	39	0.052	-0.164	35.6	0.064	-0.166
runs-deen-all/077-deen-32k32k-r1	32,000	135,631,011	30.06	0.641	31,811	384	156	32	11	1	130,297,284	28.88	0.716	31,704	214	83	21	8	1	39.2	0.088	-0.14	35.9	0.112	-0.138
runs-deen-all/088-deen-48k48k-r1	48,000	130,664,693	28.96	0.678	47,663	211	87	20	7	1	127,663,535	28.3	0.759	47,406	109	44	12	5	1	39.1	0.108	-0.145	36.2	0.143	-0.132
runs-deen-all/099-deen-64k64k-r1	64,000	127,820,798	28.33	0.704	63,476	136	57	14	5	1	126,269,696	27.99	0.788	62,984	67	28	8	3	1	39.2	0.12	-0.152	36.2	0.162	-0.132
																									
runs-ende-030k/000-ende-chars-r1	Chars	4,369,261	145.64	0.773	128	32	23	19	19	19	4,882,920	162.76	0.743	129	22	16	15	15	13	1.5	-0.046	-0.66	1.5	-0.026	-0.706
runs-ende-030k/011-ende-.5k.5k-r1	500	1,880,587	62.69	0.427	492	122	50	25	20	9	2,119,390	70.65	0.42	493	358	39	17	16	13	6.9	-0.033	-0.223	6.3	-0.046	-0.201
runs-ende-030k/022-ende-01k01k-r1	1,000	1,557,676	51.92	0.463	984	151	59	24	13	1	1,749,755	58.33	0.444	982	268	75	22	16	2	8.4	-0.086	-0.214	7.5	-0.088	-0.237
runs-ende-030k/033-ende-02k02k-r1	2,000	1,305,579	43.52	0.497	1,973	89	43	18	6	1	1,472,913	49.1	0.476	1,969	112	47	17	10	1	9.2	-0.01	-0.219	8.2	0.019	-0.207
