Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
402	247	ld▁	30045	116	77	0.532738	0.810811	0.642998
403	354	ing	29416	112	111	0.637019	0.644231	0.640605
404	335	our	29150	84	71	0.61039	0.719697	0.660552
405	445	ast▁	28287	106	74	0.573529	0.819444	0.67478
406	483	ember▁	27962	24	29	0.954545	0.777778	0.857143
407	408	ely▁	27877	87	75	0.552941	0.64	0.593294
408	327	Europe	27727	39	31	0.736842	0.933333	0.823529
409	76	–	27170	-1	100	0	0	0
410	459	own▁	26621	121	48	0.269231	0.666667	0.383562
411	433	ect▁	25920	66	68	0.679688	0.656716	0.668005
412	77	;	25762	12	11	0.545455	0.545455	0.545455
413	412	eci	24282	38	39	0.578947	0.565789	0.572293
414	340	ust▁	23666	46	40	0.244444	0.282051	0.261905
415	78	!	22967	7	151	0.857143	0.193548	0.315789
416	428	ice▁	22664	130	113	0.764	0.880734	0.818224
417	382	ple▁	22378	33	32	0.545455	0.5625	0.553846
418	396	ties▁	20052	44	39	0.522727	0.605263	0.560976
419	332	Comm	18936	19	12	0.5	0.75	0.6
420	296	ther▁	18534	58	62	0.517857	0.5	0.508772
421	443	ome▁	18251	74	53	0.416667	0.596154	0.490506
422	212	tion	17812	32	23	0.403226	0.565217	0.470673
423	79	“	16529	-1	321	0	0	0
424	462	ine▁	16291	43	42	0.547619	0.560976	0.554217
425	267	ill▁	16083	61	49	0.491525	0.604167	0.542056
426	51	'	15800	157	23	0.0804196	0.565217	0.140805
427	80	[	15467	7	-1	0	1	0
428	81	]	15392	7	-1	0	1	0
429	82	”	15200	-1	319	0	0	0
430	83	%	14958	15	40	0.833333	0.257143	0.393013
431	475	res▁	13339	27	30	0.444444	0.4	0.421053
432	84	é	11195	19	20	0.6875	0.647059	0.666667
433	85	Z	10813	25	18	0.64	0.888889	0.744186
434	434	ese▁	10747	23	30	0.782609	0.6	0.679245
435	416	Commis	10525	2	2	0.5	0.5	0.5
436	86	X	10140	15	15	1	1	1
437	87	Q	9930	13	12	0.769231	0.833333	0.8
438	369	emb	9912	9	7	0	0	0
439	499	pe▁	9486	20	16	0.45	0.5625	0.5
440	442	ke▁	8903	38	35	0.567568	0.636364	0.6
441	221	you	8832	36	30	0.694444	0.833333	0.757576
442	242	por	8568	17	12	0.352941	0.5	0.413793
443	26	,	7467	61	36	0.555556	0.988889	0.711431
444	88	&	7464	2	2	1	1	1
445	90	ü	6630	41	38	0.697368	0.75	0.722727
446	350	ore▁	6426	18	18	0.611111	0.617647	0.614362
