Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
348	198	pl	25368	38	23	0.297297	0.5	0.372881
349	367	ge▁	25263	55	39	0.416667	0.605263	0.493562
350	426	ess	25259	23	25	0.695652	0.645833	0.669818
351	1045	part	25252	53	50	0.755102	0.797872	0.775898
352	535	enti	25238	26	32	0.52	0.40625	0.45614
353	620	such▁	25229	32	38	0.790323	0.657895	0.718054
354	508	au	25224	117	100	0.817757	0.947368	0.877804
355	1550	c▁	25184	25	23	0.772727	0.85	0.809524
356	621	what▁	25138	53	49	0.663462	0.71875	0.69
357	524	work▁	24929	31	31	0.612903	0.612903	0.612903
358	625	Parliament▁	24839	6	11	0.666667	0.363636	0.470588
359	1089	men	24663	24	19	0.521739	0.666667	0.585366
360	341	me▁	24524	90	96	0.819767	0.766304	0.792135
361	853	lin	24508	39	27	0.565789	0.814815	0.667843
362	1654	Fr	24489	60	59	0.966102	0.982759	0.974359
363	556	pri	24442	19	21	0.526316	0.47619	0.5
364	672	ati	24375	26	28	0.807692	0.75	0.777778
365	348	pos	24349	38	50	0.578947	0.44	0.5
366	582	ph	24292	39	32	0.702703	0.84375	0.766794
367	632	than▁	24276	75	67	0.780822	0.876923	0.826087
368	594	Ch	24240	80	91	0.876623	0.767045	0.818182
369	423	bl	24220	79	72	0.584416	0.642857	0.612245
370	413	ous▁	24203	29	33	0.655172	0.578125	0.614242
371	689	ning▁	24157	72	68	0.492647	0.507463	0.499945
372	1126	ext	24126	25	28	0.48	0.428571	0.45283
373	641	3▁	24086	35	37	0.911765	0.861111	0.885714
374	1039	uni	24073	27	34	0.711538	0.560606	0.627119
375	251	ity▁	23985	28	34	0.642857	0.580645	0.610169
376	645	his▁	23941	227	213	0.78607	0.831606	0.808197
377	349	po	23937	56	54	0.768519	0.777778	0.77312
378	1292	pi	23930	87	61	0.5625	0.798246	0.659952
379	573	i▁	23847	69	67	0.940299	0.969231	0.954545
380	647	countries▁	23718	11	11	0.818182	0.818182	0.818182
381	344	ding▁	23691	58	56	0.357143	0.37037	0.363636
382	549	comp	23690	14	21	0.642857	0.428571	0.514286
383	991	tal	23689	59	56	0.637931	0.675926	0.656379
384	650	States▁	23639	13	13	0.769231	0.769231	0.769231
385	539	way▁	23621	51	48	0.61	0.645833	0.627405
386	351	ch▁	23549	57	31	0.403509	0.741935	0.522727
