Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
408	478	ember▁	127434	16	18	0.8125	0.722222	0.764706
409	321	Europe	127347	21	19	0.85	0.944444	0.894737
410	404	ely▁	126835	66	57	0.523077	0.641509	0.576271
411	445	ast▁	126514	90	75	0.636905	0.778571	0.700649
412	76	–	125774	-1	59	0	0	0
413	460	own▁	120095	56	28	0.324074	0.666667	0.436137
414	430	ect▁	116923	33	28	0.578125	0.685185	0.627119
415	77	;	114233	7	19	0.5	0.1875	0.272727
416	409	eci	111152	18	18	0.611111	0.611111	0.611111
417	337	ust▁	106007	68	42	0.384615	0.634146	0.478821
418	78	!	102601	11	38	1	0.6375	0.778626
419	432	ice▁	101544	80	77	0.844156	0.878378	0.860927
420	381	ple▁	101488	25	26	0.68	0.653846	0.666667
421	399	ties▁	91171	22	24	0.454545	0.416667	0.434783
422	327	Comm	87329	21	24	0.8	0.695652	0.744186
423	294	ther▁	84629	42	39	0.731707	0.789474	0.759494
424	441	ome▁	82182	54	45	0.54717	0.644444	0.591837
425	209	tion	80752	16	10	0.466667	0.7	0.56
426	79	“	76562	-1	281	0	0	0
427	263	ill▁	73307	47	46	0.728261	0.73913	0.733655
428	462	ine▁	72517	33	42	0.878788	0.707317	0.783784
429	80	”	70210	-1	291	0	0	0
430	81	%	69121	4	44	1	0.111111	0.2
431	52	'	68648	204	16	0.045977	0.5	0.0842105
432	82	[	62581	-1	1	0	0	0
433	83	]	62155	-1	1	0	0	0
434	476	res▁	60743	12	13	0.583333	0.538462	0.56
435	84	é	49446	2	2	0.5	0.5	0.5
436	412	Commis	48481	1	1	0	0	0
437	429	ese▁	47697	10	15	1	0.615385	0.761905
438	85	Z	47526	20	18	0.866667	0.928571	0.896552
439	361	emb	45247	9	7	0.222222	0.285714	0.25
440	86	X	44464	4	4	1	1	1
441	87	Q	43020	9	7	0.555556	0.714286	0.625
442	497	pe▁	42405	13	7	0.461538	0.857143	0.6
443	220	you	40299	22	20	0.590909	0.65	0.619048
444	440	ke▁	39770	55	56	0.709091	0.726415	0.717648
445	239	por	38961	4	5	0.5	0.4	0.444444
446	26	,	33126	39	37	0.947368	1	0.972973
447	88	&	32941	10	6	0.666667	1	0.8
448	90	ü	30072	-1	9	0	0	0
449	345	ore▁	28789	32	17	0.5	0.875	0.636364
450	311	Com	27865	3	4	0.666667	0.5	0.571429
451	271	uro	26547	-1	2	0	0	0
452	334	ir▁	25054	15	15	0.8	0.8	0.8
453	91	ö	22294	-1	4	0	0	0
454	92	á	21531	3	2	0.666667	1	0.8
455	452	ost▁	21408	20	12	0.4	0.666667	0.5
456	44	q	19044	4	4	1	1	1
457	273	rom▁	18873	3	3	0.666667	0.666667	0.666667
458	274	Euro	18711	6	5	0.833333	1	0.909091
459	93	ä	18662	-1	1	0	0	0
460	94	‘	17106	-1	10	0	0	0
461	96	+	14815	2	2	1	1	1
462	99	$	14513	22	24	0.952381	0.904762	0.927961
463	100	í	14424	1	1	1	1	1
464	446	resid	13746	3	4	0	0	0
465	109	€	10921	3	-1	0	1	0
466	264	ich▁	10089	1	1	1	1	1
467	266	ould▁	7564	2	2	0.5	0.5	0.5
