Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
179	253	ur	114415	338	313	0.62854	0.682624	0.654467
180	327	sich▁	113427	364	196	0.27971	0.525439	0.365077
181	206	au	113082	338	270	0.511239	0.630435	0.564615
182	418	kt	111765	214	214	0.715986	0.708543	0.712245
183	307	ah	111713	324	285	0.591435	0.66859	0.62765
184	328	Die▁	110568	341	371	0.683284	0.628378	0.654682
185	413	vor	110507	272	281	0.501302	0.495495	0.498382
186	61	O	109831	273	303	0.768775	0.696043	0.730603
187	56	y	109742	264	287	0.79184	0.738372	0.764172
188	342	aus	108885	331	269	0.481728	0.592	0.531201
189	329	men▁	108684	226	211	0.484202	0.52677	0.50459
190	449	du	108252	173	195	0.601227	0.535519	0.566474
191	331	Un	107214	215	247	0.707729	0.618026	0.659843
192	357	ahr	106805	469	457	0.725225	0.730583	0.727894
193	404	ger	105750	362	298	0.513171	0.620541	0.561772
194	411	vi	104549	226	281	0.720096	0.605263	0.657705
195	333	wir▁	104068	90	101	0.885542	0.786738	0.833221
196	325	um▁	103904	262	369	0.587106	0.424332	0.492621
197	366	and	103452	323	241	0.474576	0.629056	0.541005
198	360	lei	103412	244	227	0.529787	0.575117	0.551522
199	336	-▁	103344	132	210	0.634503	0.435897	0.516775
200	62	J	103240	503	495	0.804587	0.821705	0.813056
201	51	0	100912	222	258	0.935127	0.825233	0.876749
202	293	bei	100851	269	226	0.508097	0.602326	0.551213
203	422	Wi	98795	192	190	0.689139	0.691667	0.6904
204	285	o▁	98767	185	213	0.828402	0.726631	0.774187
205	367	rä	98569	256	227	0.568917	0.643975	0.604124
206	397	men	98171	137	147	0.617571	0.56383	0.589478
207	339	auch▁	97398	233	176	0.469298	0.621387	0.534739
208	337	ter▁	96129	361	320	0.565672	0.644068	0.60233
209	341	gt▁	95961	288	282	0.386447	0.39599	0.39116
210	345	Sch	95420	359	368	0.691745	0.676363	0.683967
211	27	.	94633	61	106	0.901961	0.535714	0.672187
212	240	em▁	92759	201	219	0.503472	0.463415	0.482614
213	346	hal	92073	205	221	0.544503	0.503236	0.523057
214	471	we	91422	346	217	0.421843	0.670654	0.517915
215	348	sind▁	90573	176	214	0.585799	0.482843	0.529361
216	390	ür	90551	237	251	0.570015	0.543182	0.556275
217	349	(▁	90089	73	92	0.654412	0.56962	0.609079
218	303	nen▁	90030	187	220	0.591667	0.504045	0.544353
219	260	ell	89922	198	223	0.62766	0.557143	0.590303
220	392	schen▁	89308	227	253	0.636574	0.577004	0.605327
221	350	)▁	89198	73	91	0.639706	0.564103	0.59953
222	243	mm	88432	192	182	0.578804	0.611765	0.594828
223	398	je	88215	149	210	0.593103	0.418317	0.490607
224	353	st▁	88164	272	266	0.582353	0.60241	0.592212
225	227	ch▁	87849	226	194	0.474299	0.562734	0.514746
226	355	ssen▁	87710	177	176	0.494152	0.497093	0.495618
227	356	als▁	87371	274	305	0.695312	0.618375	0.654591
228	358	k▁	86829	190	187	0.684524	0.680233	0.682371
229	362	wen	86213	168	200	0.601911	0.504505	0.54892
230	363	wird▁	85798	146	229	0.542553	0.359524	0.43247
231	374	chen▁	85343	230	259	0.535211	0.475282	0.50347
232	377	for	85215	139	160	0.648579	0.557047	0.599338
233	368	über▁	84484	224	199	0.40553	0.471053	0.435842
234	406	Er	84095	248	263	0.573446	0.537255	0.554761
235	369	wie▁	84037	217	192	0.623762	0.704331	0.661603
